study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	experiment_title	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp
PRJNA764525	SAMN21507561	SRX12262616	SRR15973847	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ALM07.25.round2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/047/SRR15973847/SRR15973847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/047/SRR15973847/SRR15973847_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/047/SRR15973847
PRJNA764525	SAMN21507525	SRX12262615	SRR15973848	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M001.20170817.FMT.59	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/048/SRR15973848/SRR15973848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/048/SRR15973848/SRR15973848_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/048/SRR15973848
PRJNA764525	SAMN21507560	SRX12262614	SRR15973849	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ALM07.25.round1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/049/SRR15973849/SRR15973849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/049/SRR15973849/SRR15973849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/049/SRR15973849
PRJNA764525	SAMN21507559	SRX12262613	SRR15973850	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ALM05.24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/050/SRR15973850/SRR15973850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/050/SRR15973850/SRR15973850_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/050/SRR15973850
PRJNA764525	SAMN21507558	SRX12262612	SRR15973851	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ALM01.23.round2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/051/SRR15973851/SRR15973851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/051/SRR15973851/SRR15973851_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/051/SRR15973851
PRJNA764525	SAMN21507557	SRX12262611	SRR15973852	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: FMT capsule	Capsule_ALM01.23.round1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/052/SRR15973852/SRR15973852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/052/SRR15973852/SRR15973852_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/052/SRR15973852
PRJNA764525	SAMN21507556	SRX12262610	SRR15973853	562	Escherichia coli	Illumina HiSeq 2500 sequencing; Genome of Escherichia coli: blood culture	R001.NA.Blood_culture.11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/053/SRR15973853/SRR15973853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/053/SRR15973853/SRR15973853_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/053/SRR15973853
PRJNA764525	SAMN21507555	SRX12262609	SRR15973854	1352	Enterococcus faecium	Illumina HiSeq 2500 sequencing; Genome of Enterococcus faecium: blood culture	M013.20190310.Blood_culture.07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/054/SRR15973854/SRR15973854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/054/SRR15973854/SRR15973854_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/054/SRR15973854
PRJNA764525	SAMN21507554	SRX12262608	SRR15973855	56689	Mycolicibacterium mucogenicum	Illumina HiSeq 2500 sequencing; Genome of Mycobacterium mucogenicum: blood culture	M013.20190301.Blood_culture.08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/055/SRR15973855/SRR15973855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/055/SRR15973855/SRR15973855_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/055/SRR15973855
PRJNA764525	SAMN21507553	SRX12262607	SRR15973856	470	Acinetobacter baumannii	Illumina HiSeq 2500 sequencing; Genome of Acinetobacter baumannii: blood culture	M012.20190324.Blood_culture.06	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/056/SRR15973856/SRR15973856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/056/SRR15973856/SRR15973856_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/056/SRR15973856
PRJNA764525	SAMN21507552	SRX12262606	SRR15973857	562	Escherichia coli	Illumina HiSeq 2500 sequencing; Genome of Escherichia coli: blood culture	M012.20190311.Blood_culture.05	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/057/SRR15973857/SRR15973857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/057/SRR15973857/SRR15973857_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/057/SRR15973857
PRJNA764525	SAMN21507551	SRX12262605	SRR15973858	197	Campylobacter jejuni	Illumina HiSeq 2500 sequencing; Genome of Campylobacter jejuni: blood culture	M010.20190113.Blood_culture.09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/058/SRR15973858/SRR15973858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/058/SRR15973858/SRR15973858_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/058/SRR15973858
PRJNA764525	SAMN21507524	SRX12262604	SRR15973859	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M001.20170726.FMT.56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/059/SRR15973859/SRR15973859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/059/SRR15973859/SRR15973859_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/059/SRR15973859
PRJNA764525	SAMN21507550	SRX12262603	SRR15973860	287	Pseudomonas aeruginosa	Illumina HiSeq 2500 sequencing; Genome of pseudomonas aeruginosa: blood culture	M009.20181021.Blood_culture.01	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/060/SRR15973860/SRR15973860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/060/SRR15973860/SRR15973860_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/060/SRR15973860
PRJNA764525	SAMN21507549	SRX12262602	SRR15973861	562	Escherichia coli	Illumina HiSeq 2500 sequencing; Genome of Escherichia coli: blood culture	M008.20181020.Blood_culture.02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/061/SRR15973861/SRR15973861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/061/SRR15973861/SRR15973861_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/061/SRR15973861
PRJNA764525	SAMN21507548	SRX12262601	SRR15973862	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Genomes of Brevibacterium frigoritolerans and Enterococcus faecium: blood culture	M008.20181012.Blood_culture.04	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/062/SRR15973862/SRR15973862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/062/SRR15973862/SRR15973862_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/062/SRR15973862
PRJNA764525	SAMN21507547	SRX12262600	SRR15973863	562	Escherichia coli	Illumina HiSeq 2500 sequencing; Genome of Escherichia coli: blood culture	M008.20181001.Blood_culture.03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/063/SRR15973863/SRR15973863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/063/SRR15973863/SRR15973863_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/063/SRR15973863
PRJNA764525	SAMN21507546	SRX12262599	SRR15973864	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	R001.NA.FMT.10	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/064/SRR15973864/SRR15973864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/064/SRR15973864/SRR15973864_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/064/SRR15973864
PRJNA764525	SAMN21507545	SRX12262598	SRR15973865	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M013.20190315.FMT.29	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/065/SRR15973865/SRR15973865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/065/SRR15973865/SRR15973865_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/065/SRR15973865
PRJNA764525	SAMN21507544	SRX12262597	SRR15973866	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M013.20190228.FMT.35	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/066/SRR15973866/SRR15973866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/066/SRR15973866/SRR15973866_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/066/SRR15973866
PRJNA764525	SAMN21507542	SRX12262595	SRR15973867	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M012.20190321.FMT.27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/067/SRR15973867/SRR15973867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/067/SRR15973867/SRR15973867_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/067/SRR15973867
PRJNA764525	SAMN21507541	SRX12262594	SRR15973868	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M012.20190309.FMT.31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/068/SRR15973868/SRR15973868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/068/SRR15973868/SRR15973868_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/068/SRR15973868
PRJNA764525	SAMN21507523	SRX12262593	SRR15973869	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M001.20170724.FMT.55	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/069/SRR15973869/SRR15973869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/069/SRR15973869/SRR15973869_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/069/SRR15973869
PRJNA764525	SAMN21507543	SRX12262596	SRR15973870	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M013.20190228.FMT.34	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/070/SRR15973870/SRR15973870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/070/SRR15973870/SRR15973870_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/070/SRR15973870
PRJNA764525	SAMN21507540	SRX12262592	SRR15973871	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M012.20190224.FMT.30	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/071/SRR15973871/SRR15973871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/071/SRR15973871/SRR15973871_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/071/SRR15973871
PRJNA764525	SAMN21507539	SRX12262591	SRR15973872	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M012.20190217.FMT.28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/072/SRR15973872/SRR15973872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/072/SRR15973872/SRR15973872_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/072/SRR15973872
PRJNA764525	SAMN21507538	SRX12262590	SRR15973873	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M010.20190111.FMT.36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/073/SRR15973873/SRR15973873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/073/SRR15973873/SRR15973873_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/073/SRR15973873
PRJNA764525	SAMN21507537	SRX12262589	SRR15973874	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M010.20190108.FMT.32	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/074/SRR15973874/SRR15973874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/074/SRR15973874/SRR15973874_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/074/SRR15973874
PRJNA764525	SAMN21507535	SRX12262587	SRR15973875	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M010.20181223.FMT.38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/075/SRR15973875/SRR15973875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/075/SRR15973875/SRR15973875_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/075/SRR15973875
PRJNA764525	SAMN21507534	SRX12262586	SRR15973876	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M009.20181031.FMT.17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/076/SRR15973876/SRR15973876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/076/SRR15973876/SRR15973876_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/076/SRR15973876
PRJNA764525	SAMN21507533	SRX12262585	SRR15973877	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M009.20181021.FMT.13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/077/SRR15973877/SRR15973877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/077/SRR15973877/SRR15973877_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/077/SRR15973877
PRJNA764525	SAMN21507536	SRX12262588	SRR15973878	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M010.20181225.FMT.37	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/078/SRR15973878/SRR15973878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/078/SRR15973878/SRR15973878_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/078/SRR15973878
PRJNA764525	SAMN21507532	SRX12262584	SRR15973879	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M009.20181010.FMT.16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/079/SRR15973879/SRR15973879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/079/SRR15973879/SRR15973879_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/079/SRR15973879
PRJNA764525	SAMN21507531	SRX12262583	SRR15973880	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M009.20181002.FMT.15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/080/SRR15973880/SRR15973880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/080/SRR15973880/SRR15973880_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/080/SRR15973880
PRJNA764525	SAMN21507522	SRX12262582	SRR15973881	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M001.20170720.FMT.54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/081/SRR15973881/SRR15973881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/081/SRR15973881/SRR15973881_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/081/SRR15973881
PRJNA764525	SAMN21507521	SRX12262581	SRR15973882	408170	human gut metagenome	Illumina HiSeq 2500 sequencing; Metagenome of Home sapiens: stool sample	M001.20170709.FMT.51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/082/SRR15973882/SRR15973882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/082/SRR15973882/SRR15973882_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR159/082/SRR15973882
